No.,Flag,Name,Kanji,Population(as of October 2016),Density(/km2),Area(km2),Major districts
01,,Chiyoda,千代田区,"0059,441","05,100",011.66,"Nagatachō, Kasumigaseki, Ōtemachi, Marunouchi, Akihabara, Yūrakuchō, Iidabashi, Kanda"
02,,Chūō,中央区,"0147,620","14,460",010.21,"Nihonbashi, Kayabachō, Ginza, Tsukiji, Hatchōbori, Shinkawa, Tsukishima, Kachidoki, Tsukuda"
03,,Minato,港区,"0248,071","12,180",020.37,"Odaiba, Shinbashi, Hamamatsuchō, Mita, Roppongi, Toranomon, Aoyama, Azabu"
04,,Shinjuku,新宿区,"0339,211","18,620",018.22,"Shinjuku, Takadanobaba, Ōkubo, Kagurazaka, Ichigaya, Yotsuya"
05,,Bunkyō,文京区,"0223,389","19,790",011.29,"Hongō, Yayoi, Hakusan"
06,,Taitō,台東区,"0200,486","19,830",010.11,"Ueno, Asakusa"
07,,Sumida,墨田区,"0260,358","18,910",013.77,"Kinshichō, Morishita, Ryōgoku"
08,,Kōtō,江東区,"0502,579","12,510",040.16,"Kiba, Ariake, Kameido, Tōyōchō, Monzennakachō, Fukagawa, Kiyosumi, Shirakawa, Etchūjima, Sunamachi, Aomi"
09,,Shinagawa,品川区,"0392,492","17,180",022.84,"Shinagawa, Gotanda, Ōsaki, Hatanodai, Ōimachi, Tennōzu"
10,,Meguro,目黒区,"0280,283","19,110",014.67,"Meguro, Nakameguro, Jiyugaoka, Komaba, Aobadai"
11,,Ōta,大田区,"0722,608","11,910",060.66,"Ōmori, Kamata, Haneda, Den-en-chōfu"
12,,Setagaya,世田谷区,"0910,868","15,690",058.05,"Setagaya, Shimokitazawa, Kinuta, Karasuyama, Tamagawa"
13,,Shibuya,渋谷区,"0227,850","15,080",015.11,"Shibuya, Ebisu, Harajuku, Daikanyama, Hiroo, Sendagaya, Yoyogi"
14,,Nakano,中野区,"0332,902","21,350",015.59,Nakano
15,,Suginami,杉並区,"0570,483","16,750",034.06,"Kōenji, Asagaya, Ogikubo"
16,,Toshima,豊島区,"0294,673","22,650",013.01,"Ikebukuro, Komagome, Senkawa, Sugamo"
17,,Kita,北区,"0345,063","16,740",020.61,"Akabane, Ōji, Tabata"
18,,Arakawa,荒川区,"0213,648","21,030",010.16,"Arakawa, Machiya, Nippori, Minamisenju"
19,,Itabashi,板橋区,"0569,225","17,670",032.22,"Itabashi, Takashimadaira"
20,,Nerima,練馬区,"0726,748","15,120",048.08,"Nerima, Ōizumi, Hikarigaoka"
21,,Adachi,足立区,"0674,067","12,660",053.25,"Ayase, Kitasenju, Takenotsuka"
22,,Katsushika,葛飾区,"0447,140","12,850",034.80,"Tateishi, Aoto, Kameari, Shibamata"
23,,Edogawa,江戸川区,"0685,899","13,750",049.90,"Kasai, Koiwa"
Overall,Overall,Overall,Overall,"9,375,104","15,146",619,
